config,EX,ci_low,ci_high
Phi-3.5-mini-instruct,0.63,0.56,0.695
Qwen2.5-Coder-7B-Instruct,0.745,0.68,0.805
Yi-Coder-9B-Chat,0.725,0.66,0.79
abl_Qwen2.5-Coder-7B-Instruct_cot,0.675,0.61,0.74
abl_Qwen2.5-Coder-7B-Instruct_fewshot,0.79,0.735,0.84
abl_Qwen2.5-Coder-7B-Instruct_no_schemalink,0.765,0.7098749999999999,0.825
abl_Qwen2.5-Coder-7B-Instruct_no_selfcorr,0.665,0.6,0.73
deepseek-coder-6.7b-instruct,0.735,0.665,0.79
granite-8b-code-instruct-128k,0.67,0.605,0.74
robust_Qwen2.5-Coder-7B-Instruct_T0.0_r1,0.745,0.685,0.805
robust_Qwen2.5-Coder-7B-Instruct_T0.4_r1,0.76,0.7,0.82
robust_Qwen2.5-Coder-7B-Instruct_T0.4_r2,0.775,0.715,0.835
robust_Qwen2.5-Coder-7B-Instruct_T0.4_r3,0.725,0.665,0.785
robust_Qwen2.5-Coder-7B-Instruct_T0.4_r4,0.775,0.715,0.83
robust_Qwen2.5-Coder-7B-Instruct_T0.4_r5,0.755,0.695,0.81
robust_Qwen2.5-Coder-7B-Instruct_T0.8_r1,0.695,0.63,0.76
robust_Qwen2.5-Coder-7B-Instruct_T0.8_r2,0.74,0.68,0.79
robust_Qwen2.5-Coder-7B-Instruct_T0.8_r3,0.765,0.7,0.82
robust_Qwen2.5-Coder-7B-Instruct_T0.8_r4,0.75,0.69,0.81
robust_Qwen2.5-Coder-7B-Instruct_T0.8_r5,0.645,0.575,0.71
